Index,Posting,PosterName,PostingDate,NumberofLikes,NumberofComments,NumberofReposts,NumberofOrganicImpressions,Comments,Commenters
42," ðŸš€ Calling All Innovators! ðŸŒŸReady to ignite your startup or social impact venture? The Spark Venture Competition is back! ðŸŽ‰Hosted by the Carlsen Center for Innovation & Entrepreneurship during Global Entrepreneurship Week Sacramento, and powered by Western Health Advantage, this annual competition is your chance to shine. ðŸ¤‘ $20,000 in Cash Prizes await the boldest, most innovative ventures. Whether you're an early-stage for-profit startup or a social impact champion, there's a track for you.Key Details:âœ¨ Two Tracks: For-Profit Ventures and Social Ventures.ðŸ—“ï¸ Program Plan:Â - Applications Open: Sept. 13th, 2023Â - Application Deadline: Oct. 27th, 2023Â - Finalists Announced: Week of Oct. 30th, 2023Â - Spark Venture Competition: Nov. 15th, 5:00 - 7:30pm at the Carlsen Center for Innovation & Entrepreneurship at Sacramento State.Don't miss your shot at funding, mentorship, and the opportunity to showcase your innovation. ðŸŒApply by Oct. 27th, 11:59 pm. Let's spark positive change together! ðŸ’¡ðŸ‘‰ Apply Now: https://lnkd.in/g9nZcwmQ#Innovation #Entrepreneurship #StartupCompetition #SocialImpact #SacramentoStartup #SparkVentureCompSacramento Entrepreneurial Growth Alliance StartupSac Growth Factory Greater Sacramento Economic Council FourthWave.io Sacramento Entrepreneurship Academy UC Davis Venture Catalyst UC Davis Student Startup Center UC Davis Institute for Innovation and Entrepreneurship Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce Evolution Accelerator Startup Folsom 1 Million Cups Sacramento Sacramento AngelsLaura Good Rich Foreman Monique Brown Donna â€œBasicTaqâ€ Walters, MBA Nikki Sims Rick Spencer Troels Adrian Cheryl Beninga Jessie Becker Alexander ðŸ·Christy S. Janine Elliott Aaron Mondell Anderson Dawn McGee Pat Fong Kushida Azizza Davis Goines Cathy Rodriguez Aguirre Alex Chompff Dick Gourley May Chinavanichkit Josh David Miller Ken Tallo Sara Ledterman",CameronR.Law,10/9/2023,12,2,2,290,"Cash Prizes!, Franklin, you got it!","Franklin Burris, Carsen Center of Innovation & Entrepreneurship"
43," ðŸ“¢ Exciting Opportunities Await - Check Out Our Weekly E-Newsletter! ðŸš€1. Startup Challenge: Are you tired of just talking about your startup idea? Join us for the Startup Challenge, a weekend of ACTION where you turn your concept into a reality. It's a hands-on, immersive learning experience that runs from Friday night to Sunday night. Come with your idea and leave with a startup. ðŸŒŸ2. Spark Venture Competition: Calling all early-stage startups and social impact ventures! The Spark Venture Competition is back and better than ever. Hosted by the Carlsen Center for Innovation & Entrepreneurship during Global Entrepreneurship Week Sacramento, you have a chance to win a share of $20,000 in cash prizes. Applications are live, so don't miss your shot at funding and mentorship. ðŸ’¡3. Innovation Series Workshops: Want to enhance your innovation game? Don't miss our upcoming workshops! Dive into the world of Innovation Accounting with Dan Toma and explore Capital Strategy Using GroundWork Growth with Bob Crimmins. These workshops are your keys to unlocking innovation and growth. ðŸ“ˆSeize these opportunities and make the most of your entrepreneurial journey. Learn, grow, and thrive! ðŸ’ªhttps://lnkd.in/e8KjpArR#Entrepreneurship #Innovation #StartupChallenge #VentureCompetition #InnovationWorkshopsStartupSac Growth Factory Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy NorCal Entrepreneur Hub Sacramento MetroBusiness Center City of Sacramento City of Roseville SMUD Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce Sacramento State College of Business Administration Sacramento State College of Engineering and Computer Science Sacramento State EMBA Sacramento State Alumni Association",CameronR.Law,10/9/2023,4,0,2,78,,
44," ðŸš€ Ready to turn your business idea into a reality in just one weekend? Join us for the Startup Challenge! ðŸš€ðŸ”¥ Imagine going from an idea to a fully formed startup in just a few days - that's the magic of the Startup Challenge. It's an intense, high-energy event that brings together aspiring entrepreneurs, seasoned mentors, and a network of support to help you launch your business fast.ðŸŒŸ Here's what you can expect:- A weekend filled with creativity, innovation, and hands-on experience.- Expert mentors to guide you every step of the way.- Pitch your idea, form a team, and bring your startup vision to life.- Amazing prizes on the line, including cash!Don't miss out on this incredible opportunity to kickstart your entrepreneurial journey. Sign up now: https://lnkd.in/ghVrNDKpThank you to the City of Sacramento for your support as a sponsor of this effort!#StartupChallenge #Entrepreneurship #Innovation #StartupJourney #FromIdeaToRealityStartupSac Startup Folsom Growth Factory Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy FourthWave.io NorCal Entrepreneur Hub 1 Million Cups Sacramento UC Davis Student Startup Center Sacramento State College of Business Administration Sacramento State EMBA Sacramento State College of Engineering and Computer Science Laura Good Arlene J. Miranda Josh David Miller Cameron R. Law Rich Foreman May Chinavanichkit Oleh Pylyp Obi Baratt Abubeker Hussen Michael Freedman ðŸ·Christy Serrato Dick Gourley Luciano C. Oviedo Aaron Mondell Anderson Donna â€œBasicTaqâ€ Walters, MBA Boniface Michael Ryan Fuller, PhD, MBA Nathan (Nam Kyoon) Kim Cheng Wang Elisa Michals Donna Jensen Cheng Hong Brian K. Gladden, DBA Jessie Becker Alexander Aubree Smith ",CameronR.Law,10/9/2023,10,2,5,446,"Going to be so much fun! Looking forward yo seeing who will bring home the $$$!, This is an exceptional program! Great job Carsen Center of Innovation & Entrepreneurship and StartupSac! Dale Carlsen 1 Million Cips Sacramento Erwing Marion  Kauffman Foundation","Cameron Law, Dick Gourley"
45," #GFX2023 was another tremendous success!  Awesome programming, including the #backyardawards, and an #ecosystempanel of #collaborators that #takeaction to #supportentrepreneurs and foster a #supportiveentrepreneurialecosystem, moderated by our own Cameron R. Law, and so much more!  Plus, there was a diverse collection of attendees, in every age group, that was so engaged!  All contributed to a #highenergy experience of the #BackyardAdvantage!  Thank you, Growth Factory!StartupSac Monique Brown Mark Haney Rick Spencer Franklin Burris, MPA SMUD Troels Adrian Janine Elliott Nikki Sims Wayne Wiley Laura Good Roshaun Davis Mark Otero Jackelyn Diaz Abubeker Hussen Keshav Sharma",ArleneJ.Miranda,10/7/2023,52,2,4,1158,"It was such a fantastic event. I highly recommend attending in the future, Wethought it was a big success as well! Growth Factory has it going on!","Joel Higginbotham, StartupSac"
46," The startup ecosystem in the Sacramento region is booming.  It is one of the most vibrant in the country due to the collaboration of key partners like the Carlsen Center for Innovation & Entrepreneurship , the Roseville Area Chamber of Commerce , the City of Roseville , StartupSac, Greater Sacramento Economic Council  and Growth Factory. Thank you to David Bland of Precoil and Samuel Taylor  of Core Impact Inc for presenting at  GFX.",CameronR.Law,10/7/2023,39,2,1,535,"Great to see you Brian!, Always great cathcing up with you!!","Neal Best, Samuel Taylor"
47," ðŸŒŸ Ready to turn your startup idea into a reality? The Startup Challenge is your ticket to a transformative experience! Here's what some of our past participants had to say:ðŸ—£ ""The weekend was an immersive experience - I was able to focus on the user of my product, and really dive in to their needs and pain points. From this, I gained clarity on what to solve for this group. Working with the mentors offered additional insight into next steps in development. I also really appreciated the network and connections I was able to make with other new entrepreneurs. Sharing insights and mutual support was awesome.""ðŸ—£ ""...One of our greatest make or break challenges with our app has just been overcome and within 24 hours, I was able to get the engineers needed with some help and no upfront cost, to move our app to market faster... I would absolutely tell anyone building a business to go through this cohort. I loved it and would do it again.""Don't miss out on this incredible opportunity! Join the Startup Challenge and embark on your entrepreneurial journey. We have an amazing organizer team here to support you: Laura Good, Josh David Miller, Arlene J. Miranda, & Cameron R. Law!Learn more and sign up here: https://lnkd.in/gfUtG_Ye#StartupChallenge #Entrepreneurship #Innovation #SuccessStories #StartupJourneyStartupSac City of Sacramento The Right Box LLC 1 Million Cups Sacramento Sacramento Entrepreneurial Growth Alliance The Hive CSUS NorCal Entrepreneur Hub Azriel (A.Z) Nicdao Oleh Pylyp Zaid Darwish Abubeker Hussen Gabriel Ordaz Michael Freedman ðŸ·Christy Serrato Catarina Monnier Trong Nguyen Stephen Burke Chris Anderson Sameer Shaik Alisa Sow May Chinavanichkit Sadaf Ashtari Amy Luu Vanessa Vang Ethan Bradley Evan Broome Hannah Chavez Madi Lane ",CameronR.Law,10/4/2023,15,1,2,277,"This is a great event - I highly recommend attending! I found it really helpful, as a well organized, high octane event that helps with jump starting the next steps for emerging businesses!",Alisa Saw
48," ðŸ”¥ Join us at GFX - Growth Factory's annual venture conference and startup showcase happening this Thursday, October 5th! This event brings together the brightest minds in the Greater Sacramento and Northern CA region and beyond to connect, learn, and support incredible startups while nurturing a thriving startup ecosystem.ðŸš€ The Carlsen Center is thrilled to be part of this dynamic event. We're proud to have Arlene J. Miranda and Cameron R. Law actively contributing as panel moderators, engaging with startups on the trade show floor, and co-leading the Mentor Sprint with StartupSac.Don't miss out on this opportunity to be part of an incredible community of innovators. Secure your spot today: https://lnkd.in/gZ_wHGPw#GFX2023 #StartupCommunity #InnovationEcosystem #VentureConference #Startups #NetworkingSacramento Entrepreneurial Growth Alliance NorCal Entrepreneur Hub Greater Sacramento Economic Council ",CameronR.Law,10/4/2023,12,0,0,150,"Can't wait for this weekend! It is going to be 🔥🔥🔥, So much fun! By the third day you'll be so tired but also so happy, you might find yourself laughing uncontrollably at a joke only you understand! (I'm talking about a friend.... 😜) , Ain't this the truth!!, I. Am. Pumped, Register Here: https://www.eventbrite.com/e/startup-challenge-fall-2023-tickets-713989510847","Cameron Law, Laura Good, Josh David Miller, Startup Challenge, Cameron Law"
49," Get ready for an adrenaline-packed weekend that captures the essence of startup life! The Startup Challenge is back on October 13-15, 2023. This isn't your average weekend event; it's a whirlwind of creativity, high-energy competition, and hands-on experience. Over the course of just three days, you'll transform a mere idea into a real startup, guided by mentors and fueled by passion. The motto is simple: it's not a weekend of talk; it's a weekend of doing. On Friday, October 13th, the event kicks off with a gathering filled with networking, dinner, and the chance to connect with like-minded entrepreneurs from the Sacramento ecosystem. Have an idea you've been itching to bring to life? You get a quick 60 seconds at the microphone to pitch it. The catch? It must be entirely new, with no prior work done - no websites, products, customers, logos, nada. Don't want to pitch? No problem! You can join a team later.After all the pitches, you'll vote for your favorite ideas, and teams will form around the most popular ones. Sometimes, you might find yourself working on someone else's idea, and that's perfectly fine. Remember, startups aren't just about the idea - it's all about execution! With an idea and a team, it's time to roll up your sleeves. You have less than 48 hours to turn your concept into a bona fide business. It might sound daunting, but that's precisely why the Startup Challenge is designed for you. Your hard work culminates on Sunday night, where your team will present your new business in front of a panel of judges. And yes, there are amazing prizes on the line, including cash! Remember, it's not just about having a good idea; it's about gaining traction. So, mark your calendars for October 13-15, 2023, and join us for a weekend of DOING innovation and startups!Register Here: https://lnkd.in/gX5iM-J5#StartupChallenge #StartToday #TakeActionCarlsen Center for Innovation & Entrepreneurship City of Sacramento StartupSac The Right Box LLC Sacramento Entrepreneurship Academy 1 Million Cups Sacramento Sacramento Entrepreneurial Growth Alliance The Hive CSUS Sacramento State College of Business Administration Sacramento State EMBAArlene J. Miranda Laura Good Josh David Miller Aubree Smith Cameron R. Law May Chinavanichkit Ethan Bradley Hannah Chavez Madi Lane Evan Broome Abubeker Hussen Vanessa Vang Justin Mickle Srinjay Verma Ryan Fuller, PhD, MBA Nathan (Nam Kyoon) Kim Cheng Wang Brent Bynum Bonnie McDonald Beevers",CameronR.Law,10/3/2023,16,5,6,0,,
50," ðŸ“ˆ Ready to level up your innovation game? Join us for a game-changing workshop on ""Innovation Accounting: Measure Your Innovation Ecosystem's Performance"" with renowned innovation thought leader, Dan Toma!ðŸ” About Our Speaker: Dan Toma:With a background in entrepreneurship and a passion for innovation, Dan has made a significant mark in the world of corporate innovation. He's the author of ""Innovation Accounting"" (BIS, 2021) and ""The Corporate Startup"" (Vakmedien, 2017).Dan's journey includes working with technology startups worldwide, leading innovation communities in Europe, and collaborating with industry giants like Deutsche Telekom, Bosch, JLR, Bayer, John Deere, and Allianz to drive innovation-led transformations.He's a strong advocate for the ecosystem approach to innovation and has contributed to developing national innovation ecosystems and strategies in Asia and Europe. Dan's wealth of experience extends to teaching innovation courses at prestigious institutions like the Royal Academy of Engineering and the University of Applied Science Rhein-Main.Dan holds an MBA from Bradford University and TiasNimbas Business School and is a certified lean startup acceleration specialist, certified by Columbia University through the Lean Launchpad program.Don't miss this opportunity to learn from an innovation guru! Secure your spot today: https://lnkd.in/gQnMNMH7#Innovation #InnovationAccounting #Ecosystem #BusinessInnovation #InnovationManagement #WorkshopSacramento Entrepreneurial Growth Alliance NorCal Entrepreneur Hub Growth Factory Strategy & Innovation Institute StartupSac Startup Folsom Intel Corporation Choose Folsom 1 Million Cups Sacramento SMUD VSP Global Innovation Center Sacramento Metro Chamber Roseville Area Chamber of Commerce World Trade Center Northern CaliforniaArlene J. Miranda Brian K. Gladden, DBA Jessie Becker Alexander Cameron R. Law Donna â€œBasicTaqâ€ Walters, MBA Nikki Sims Laura Good Rich Foreman Phil Scott Josh David Miller May Chinavanichkit Franklin Burris, MPA Rafael A.C.D. Gacel-Sinclair Mariappan ""Jawa"" Jawaharlal Ruth Yomtoubian Kyla Bryant Rana Ghadban Kevin Mather",CameronR.Law,10/3/2023,7,0,0,124,,
51," Early bird pricing for the Startup Challenge expires tonight at 11:30 PM! If you've been thinking about signing up, today is the day! Are you ready for an adrenaline-packed weekend that captures the essence ofÂ startupÂ life?Join the Carlsen Center and StartupSac on the weekend of October 13 -15 to bring your idea to reality!TheÂ StartupÂ ChallengeÂ isnâ€™t your average weekend event; itâ€™s a whirlwind of creativity, high-energyÂ competition, and hands-on experience. Over the course of just three days, youâ€™ll transform a mere idea into a realÂ startup, guided by mentors and fueled by passion.We begin by forming teams around brand new ideas.-Anyoneâ€™s welcome to participate â€” even if you donâ€™t have an idea.-Teams have just one weekend to turn the idea into a real business, and youâ€™ll learn how by doing it.-We have all the resources you need to succeed.-No business knowledge or special skills required.StartupÂ ChallengeÂ DetailsWhen:Â Friday, October 13 through Sunday, October 15Where:Â The Carlsen Center for Innovation and Entrepreneurship at Sac StateCost:Â Early Bird Rates are $25 students and $75 general.Â Rates goÂ upÂ to $99 general and $35 student at 11:30 PM on Monday Oct 2.Register here > https://lnkd.in/gX5iM-J5Our judges: May Chinavanichkit, John Nogrady, Douglas Younger III, Allan Liu, Mariah ""Roman"" LichtensternOur facilitators: Josh David Miller, Cameron R. Law, Laura GoodOur coaches: Rich Foreman, Kyle Kaneshiro, Gordon Fowler, Kumar Senthil, Dan Wu, Pam Kaur, Geoff HeathHelp spread the word! Rachid Abadli Dick Gourley Arlene J. Miranda Aaron Mondell Anderson Thomas Hall Janine Elliott Niki Peterson Dawn McGee Beth Broome Mia Lopez Christina G.Carlsen Center for Innovation & Entrepreneurship Startup Folsom 1 Million Cups Sacramento ",CameronR.Law,10/2/2023,16,3,9,0,"Startup Challenge is always a blast! If you've never done anything like this before, I highly recommend it just for the experience!, I highly suggest this event for entrepreneurs in the Sacramento area. It’s like a day camp to learn how to turn an idea into a viable business. Most important you become immersed in a hashtag#StartupEcosystem!, Can't wait to hear all the creative, innovative ideas everyone comes up with! 😎","Laura Good, June Swatzell, Pam Kaur"
52," ðŸš€ Innovation, Challenges, and Mentorship: Your Weekly Update Is Here! ðŸš€Ready to dive into a world of innovation, entrepreneurial challenges, and mentorship opportunities? Look no further than our latest weekly newsletter! Here's a sneak peek at what's inside:1ï¸âƒ£ Innovating for Impact: Discover the power of innovation in creating positive change with our 'Innovating for Impact' workshop. Explore social innovation and gain the tools to address complex social problems. Session led by Jonathan Kaufman, Co-Founder & Principal at Third Plateau 2ï¸âƒ£ Startup Challenge: Calling all aspiring innovators and entrepreneurs! Get ready for the Startup Challenge, where you can turn your ideas into real startups in just three days. It's not about talking; it's about doing! Join Laura Good, Josh David Miller, Arlene J. Miranda, and Cameron R. Law who are facilitating and organizing this energizing weekend!3ï¸âƒ£ GFX powered by Growth Factory - Mentor Sprint: Are you an early-stage founder seeking guidance? Don't miss the GFX - Mentor Sprint, where you can connect with experienced mentors and navigate the challenges of your startup journey. This sub-event is led by StartupSac and the Carlsen Center.Ready to explore these exciting opportunities? Check out the full newsletter for all the details: https://lnkd.in/gNpiSaurLet's make October a month of growth, learning, and innovation! ðŸŒŸ #Innovation #StartupChallenge #Mentorship #EntrepreneurshipSacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy The Hive CSUS NorCal Entrepreneur Hub 1 Million Cups Sacramento Sacramento State College of Business Administration Sacramento State EMBA Global Entrepreneurship Week Sacramento",CameronR.Law,10/2/2023,9,1,1,159,What a month for entrepreneurship!,Josh David Miller
53," Got an idea for a business?  Then attend the Startup Challenge hosted by the Carlsen Center for Innovation & Entrepreneurship and StartupSac to see if it has legs on the weekend of October 13-15.  #startup Laura Good Cameron R. Law Josh David Miller Arlene J. Miranda Franklin Burris, MPA ",CameronR.Law,10/2/2023,3,1,2,0,"Thank you, Startup Grind Sacramento, for sharing about the Startup Challenge! We hope to see your community plug in!",Cameron Law
54," ðŸš€ Ready to Supercharge Your Innovation Journey? Join Us in October! ðŸš€Are you eager to take your innovation game to the next level? Look no further! Our October Innovation Series is packed with transformative workshops designed to fuel your creativity, knowledge, and impact.ðŸŒŸ Here's a sneak peek at what's in store:1ï¸âƒ£ Innovating for Impact: Discover how innovation can be a powerful force for positive change in our 'Innovating for Impact' session. Dive into the world of social innovation and explore how new ideas can solve complex social problems. Speaker: Jonathan Kaufman, Co-Founder and Principal at Third Plateau 2ï¸âƒ£ Innovation Accounting: Uncover the secrets of measuring innovation impact with our 'Innovation Accounting' workshop. Learn how to go beyond traditional accounting and evaluate the true value of innovation. Speaker: Dan Toma: Award Winning Author of Innovation Accounting3ï¸âƒ£ Capital Strategy Using GroundWork Growth: Elevate your financial strategy in 'Capital Strategy Using GroundWork Growth.' Get insights into effectively raising capital and managing your financial resources for growth. Speaker: Bob Crimmins, General Partner of Startup Haven Ventures4ï¸âƒ£ Mastering Customer Discovery: In 'Mastering Customer Discovery,' sharpen your skills in understanding and connecting with your customers. Discover the keys to creating products and solutions that truly resonate. Speaker: Josh David Miller, Founder of The Right Box LLC5ï¸âƒ£  Virtual IP Bootcamp: Protect your innovations! Join our 'Virtual IP Bootcamp' to gain essential knowledge about intellectual property, patents, trademarks, and copyrights. Speaker: Jim RitcheyðŸ“… Session will be taking place weekly throughout OctoberðŸ•’ Times vary per weekðŸ“ Location: All session will take place viaReady to embark on this innovation journey with us? Visit https://lnkd.in/gBFGgVhU to secure your spot today! Let's innovate, learn, and grow together.ðŸš€ Don't miss out on this opportunity to supercharge your innovation efforts! See you in October! ðŸ‘‹ #InnovationSeries #InnovateForImpact #BusinessGrowthStartupSac Growth Factory Strategy & Innovation Institute Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy NorCal Entrepreneur Hub",CameronR.Law,10/2/2023,7,0,1,178,,
55," Got an idea for a business?  Then attend the Startup Challenge hosted by the Carlsen Center for Innovation & Entrepreneurship and StartupSac to see if it has legs on the weekend of October 13-15.  #startup Laura Good Cameron R. Law Josh David Miller Arlene J. Miranda Franklin Burris, MPA ",CameronR.Law,10/1/2023,12,1,4,0,Great event. Sorry missed you day in Sacto Sept.26th. Spent afternoon at UC Davis ; you’ve got to see re-located College of Engineering Design Center. It is most elaborate Maker’s Space I’ve personally EVER seen (and I’ve been to quite a few). Clint Day,Clinton Day
56," Just wrapped up an amazing time at the E3 Sacramento Conference at the Carlsen Center for Innovation & Entrepreneurship! Today had Engaging discussions about entrepreneurship, innovation, and ecosystem building strategies. Along with pitches from Entrepreneurs Nikki Coner of Packaged to Profit and Kincy Clark of Onestudy.ai during the 1 million cups segment. ",CameronR.Law,9/29/2023,17,2,2,0,"Thank you for your support today Jermaine, I love the Carlsen Center for Innovation & Entrepreneurship - a great resource for that Sac entrepreneurship community.","Franklin Burris, Wesley Alexander"
57," We had a wonderful time during E3 Week in vibrant Sacramento, collaborating on how to build more equitable ecosystems for all. What a great week filled with insightful discussion and community building!Thank you to our partners, Carlsen Center for Innovation & Entrepreneurship, the City of Sacramento, and Sacramento Municipal Utility District (SMUD).#e3sacramento #equityforeveryentrepreneur #forwardcities #SacStateInnovates #smud #sacramento #ecosystembuildingFay Horwitt Magalie Yacinthe Kasem Rodriguez MohsenArlene J. Miranda Cameron R. Law Franklin Burris, MPA Lorrie Clark Aubree Smith",CameronR.Law,9/29/2023,30,1,5,0,So enjoyed teaming with our E3 partners for #E3Sacramento! So much enlightenment and energy! We are on the right track! Grateful for the experience!,Arlene Miranda
58," ðŸš€ Are you ready to take your #startup idea from concept to reality? Don't miss the chance to join the Startup Challenge, one of Sacramento's premier entrepreneurial competition!Early bird tickets are still available, but they won't last long. Secure your spot today and set your entrepreneurial journey in motion. Here's what you can expect:ðŸŒŸ Pitch Your Idea: Share your innovative concept with a supportive community. Form a team to advance the idea!ðŸ¤ Network: Connect with fellow entrepreneurs, mentors, and investors.ðŸ’¡ Learn By Doing: Gain valuable insights and knowledge to refine your business model by taking action.ðŸ† Compete: Compete for fantastic prizes, including cash to fuel your startup. We reward action and traction over the weekend!Don't wait any longer to pursue your startup dreams. Join us at the Startup Challenge and turn your idea into reality.ðŸ“… Date: October 13th through 15thðŸ“ Location: Carlsen Center for Innovation & Entrepreneurship at Sacramento StateðŸ‘‰ Get Your Early Bird Tickets Here: https://lnkd.in/ghF9yK5aLet's make innovation happen together! ðŸš€ #StartupChallenge #Entrepreneurship #InnovationStartupSac City of Sacramento Sacramento Entrepreneurship Academy Sacramento Entrepreneurial Growth Alliance The Hive CSUS 1 Million Cups Sacramento Startup Folsom FourthWave.io Sacramento State College of Business Administration Sacramento State College of Engineering and Computer Science Sacramento State EMBA Sacramento State BHON UC Davis Institute for Innovation and Entrepreneurship UC Davis Student Startup Center UC Davis Venture CatalystLaura Good Josh David Miller Arlene J. Miranda Cameron R. Law Michael Freedman John Goldberg, MBA Evan Broome Ethan Bradley Hannah Chavez Madi Lane HASHEM JABER Abubeker Hussen Srinjay Verma Derek Steege Brent Bynum Ryan Fuller, PhD, MBA Cheng Hong Cheng Wang Nathan (Nam Kyoon) Kim Niki Peterson Aaron Mondell Anderson Dawn McGee",CameronR.Law,9/28/2023,20,3,3,234,"Can’t wait this is going to be amazing!! 🚀🚀🚀, It's go time! Let's get inspired, Let’s goooo!!! 🔥🔥🔥","Cameron Law, Josh David Miller, Startup Challenge"
59," Great day celebrating diversity and economic opportunity today with E3 Sacramento (Equity for Every Entrepeneur) with Forward Cities and Carlsen Center for Innovation & Entrepreneurship ðŸš€âœŒï¸ and City of Sacramento.  SMUD is proud to be a sponsor of this work, and help foster this #dialog and #strategicplanning for our #Entrepreneurial #Ecosystem#e3sacramento #Startups #Entrepreneurship Forward Cities Carlsen Center for Innovation & Entrepreneurship Sacramento Entrepreneurial Growth Alliance Arlene J. Miranda Cameron R. Law Gary Simon Juan P. Novello Laura Good Jessie Becker Alexander Rich Foreman WP Anthony Garcia Chris Horton Madeline Barbour Lorrie Clark Kasem Rodriguez Mohsen 1 Million Cups Sacramento",CameronR.Law,9/28/2023,40,5,8,0,"Franklin Burris, MPA looks like very interesting event.., Ronald O Flores great people participating made it interesting 👍, Brilliant post, Franklin Burris, MPA ! So grateful to have your partnership! Thank you to SMUD and City of Sacramento for sponsoring #E3Sacramento! Forward Cities Carlsen Center for Innovation & Entrepreneurship","Ronald Flores, Franklin Burris, Arelene Miranda"
60," We invite you to join us for the Ecosystem Town Hall on September 27th, 2023 from 6-8:30pm at the Carlsen Center for Innovation and Entrepreneurship! Weâ€™ll engage in an interactive discussion led by Forward Cities and local entrepreneurial champions highlighting both the successes and challenges of Sacramentoâ€™s community of diverse entrepreneurs and small business owners.  Register for the Ecosystem Town Hall at: https://lnkd.in/evN63rZW #e3sacramento #forwardcities #equityforeveryentrepreneur #SacStateInnovates #smud #sacramento #equityforeveryentrepreneur #Insights #InsightfulDiscussions #successes #challenges #community#EntrepreneurialEcosystem #Entrepreneurship #EntrepreneurialJourney #Innovation #founders #entrepreneurialchampions #ecosystembuildersForward Cities City of Sacramento SMUD Sacramento Hispanic Chamber of Commerce Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce DiverseCity Ventures National Black Entrepreneurs Project - NBEP Ewing Marion Kauffman Foundation Greater Sacramento Economic Council Sacramento Entrepreneurship Academy FourthWave.io Growth Factory StartupSac CleanStart Sacramento MetroBusiness Center ",ArleneJ.Miranda,9/20/2023,1,0,0,52,,
61," ðŸš¨ LAST CALL: Supercharge Your Innovation Skills! ðŸš¨Don't miss out on our exclusive workshop, ""Understand Your Customers: Learn to Apply Jobs to Be Done (JTBD)"" led by Tony Ulwick, Founder and CEO of Strategyn and author of Jobs to Be Done.ðŸ“… When: Wednesday, Sept. 20th at 11 am PSTðŸŒ Where: On Zoom (Register to receive the link)Join Jobs to Be Done expert Tony Ulwick for an enlightening session on how to better understand your customers' needs. This workshop is your ticket to:ðŸ” Uncover deep customer insightsðŸš€ Fuel your innovation processðŸ’¡ Develop products and services that truly resonateIf you're ready to take your innovation game to the next level, this is the workshop for you. But hurry, time is running out! Secure your spot now:Register Here: https://lnkd.in/gx59bh5BDon't miss this opportunity to gain a competitive edge in the world of innovation. Act fast! ðŸš€#InnovationWorkshop #JobsToBeDone #CustomerInsights #InnovationSkills #LastCallStrategy & Innovation Institute StartupSac Startup Folsom Growth Factory UC Davis Institute for Innovation and Entrepreneurship UC Davis Student Startup Center UC Davis Venture Catalyst Sacramento Asian Pacific Chamber of Commerce Sacramento Hispanic Chamber of Commerce Sacramento Black Chamber of Commerce 1 Million Cups Sacramento Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy NorCal Entrepreneur Hub AgStart CleanStart",CameronR.Law,9/20/2023,0,0,0,32,,
62," Our weekly e-newsletter is here, packed with exciting updates and opportunities in the world of innovation. Check out what's inside:1ï¸âƒ£ Understand Your Customers: Learn to Apply Jobs to Be Done (JTBD): Join our upcoming workshop with Jobs to Be Done expert Tony Ulwick and revolutionize your understanding of customer needs. Get ready to supercharge your innovation process! ðŸ”2ï¸âƒ£ E3 Sacramento | Ecosystem Town Hall: Be part of the conversation that's shaping the future of Sacramento's innovation ecosystem. Join us at the Ecosystem Town Hall and connect with key players in the entrepreneurial world! We are thankful for the support and partnership of City of Sacramento, SMUD, and Forward Cities ðŸ—£ï¸3ï¸âƒ£ Save the Date: Startup Challenge - Oct. 13th - 15th: Calling all innovators! Mark your calendars for the Startup Challenge, where ideas turn into action. It's your chance to kickstart your entrepreneurial journey! ðŸ’¡Ready to dive into the world of innovation? Don't miss out on these fantastic opportunities. Read the full newsletter for all the details! ðŸ“°Read Now: https://lnkd.in/gGrpcS3p#InnovationNews #StartupChallenge #CustomerInsights #SacramentoEcosystem #EntrepreneurshipStartupSac Growth Factory Sacramento Entrepreneurial Growth Alliance NorCal Entrepreneur Hub Sacramento Entrepreneurship Academy CleanStart AgStart The Hive CSUS 1 Million Cups SacramentoLaura Good Franklin Burris, MPA Aubree Smith Fay Horwitt Magalie Yacinthe Monique Brown ðŸ·Christy Serrato Donna â€œBasicTaqâ€ Walters, MBA Evan Broome Ethan Bradley Madi Lane Hannah Chavez Arlene J. Miranda May Chinavanichkit",CameronR.Law,9/20/2023,5,1,1,101,I love the newsletter! Weekly feels the perfect frequency and it brings so many business opportunities to me that I would not searched out on my own,Ethan Bradley
